mapped,COUNTRY,POPULATION
Afghanistan,Afghanistan,2.41
Albania,Albania,0.13
Algeria,Algeria,1.67
Angola,Angola,3.28
Antigua and Barbuda,Antigua and Barbuda,1.01
Argentina,Argentina,0.94
Armenia,Armenia,0.15
Australia,Australia,1.3
Austria,Austria,0.24
Azerbaijan,Azerbaijan,0.98
Bahrain,Bahrain,4.26
Bangladesh,Bangladesh,1.04
Barbados,Barbados,0.24
Belarus,Belarus,-0.15
Belgium,Belgium,0.58
Belize,Belize,2.05
Benin,Benin,2.73
Bhutan,Bhutan,1.18
Bolivia (Plurinational State of),Bolivia,1.47
Bosnia and Herzegovina,Bosnia and Herzegovina,-0.22
Botswana,Botswana,1.79
Brazil,Brazil,0.75
Brunei Darussalam,Brunei,1.25
Bulgaria,Bulgaria,-0.67
Burkina Faso,Burkina Faso,2.87
Myanmar,Burma,0.9
Burundi,Burundi,3.15
Cambodia,Cambodia,1.49
Cameroon,Cameroon,2.56
Canada,Canada,0.9
Cabo Verde,Cape Verde,1.25
Central African Republic,Central African Republic,1.58
Chad,Chad,3.01
Chile,Chile,0.78
China,China,0.39
Colombia,Colombia,0.81
Comoros,Comoros,2.24
Congo,Congo,2.59
Costa Rica,Costa Rica,0.96
Croatia,Croatia,-0.58
Cuba,Cuba,0.06
Cyprus,Cyprus,0.78
Czechia,Czech Republic,0.06
Democratic Republic of the Congo,Democratic Republic of the Congo,3.22
Denmark,Denmark,0.38
Djibouti,Djibouti,1.51
Dominica,Dominica,0.51
Dominican Republic,Dominican Republic,1.07
Timor-Leste,East Timor,2.14
Ecuador,Ecuador,1.42
Egypt,Egypt,1.87
El Salvador,El Salvador,0.52
Equatorial Guinea,Equatorial Guinea,3.59
Eritrea,Eritrea,2.28
Estonia,Estonia,-0.23
Eswatini,Eswatini,1.75
Ethiopia,Ethiopia,2.43
Fiji,Fiji,0.72
Finland,Finland,0.36
France,France,0.39
Gabon,Gabon,2.17
Gambia,Gambia,2.93
Georgia,Georgia,-0.27
Germany,Germany,0.2
Ghana,Ghana,2.16
Greece,Greece,-0.21
Grenada,Grenada,0.46
Guatemala,Guatemala,1.94
Guinea,Guinea,2.57
Guinea-Bissau,Guinea-Bissau,2.44
Guyana,Guyana,0.57
Haiti,Haiti,1.2
Honduras,Honduras,1.63
Hungary,Hungary,-0.34
Iceland,Iceland,0.77
India,India,1.1
Indonesia,Indonesia,1.05
Iran (Islamic Republic of),Iran,1.04
Iraq,Iraq,2.78
Ireland,Ireland,0.78
Israel,Israel,1.55
Italy,Italy,-0.13
Côte d'Ivoire,Ivory Coast,2.49
Jamaica,Jamaica,0.29
Japan,Japan,-0.23
Jordan,Jordan,2.17
Kazakhstan,Kazakhstan,1.13
Kenya,Kenya,2.49
Kuwait,Kuwait,1.78
Kyrgyzstan,Kyrgyzstan,1.44
Lao People's Democratic Republic,Laos,1.45
Latvia,Latvia,-1.03
Lebanon,Lebanon,0.57
Lesotho,Lesotho,1.31
Liberia,Liberia,2.52
Libya,Libya,1.33
Lithuania,Lithuania,-0.55
Luxembourg,Luxembourg,1.27
Madagascar,Madagascar,2.67
Malawi,Malawi,2.87
Malaysia,Malaysia,1.35
Maldives,Maldives,1.85
Mali,Mali,2.99
Malta,Malta,0.31
Mauritania,Mauritania,2.69
Mauritius,Mauritius,0.23
Mexico,Mexico,1.23
Republic of Moldova,Moldova,-0.24
Mongolia,Mongolia,1.5
Morocco,Morocco,1.26
Mozambique,Mozambique,2.86
Namibia,Namibia,2.12
Nepal,Nepal,1.09
Netherlands,Netherlands,0.29
