"","Area","Y2020","Y2025","Y2030"
"1","Afghanistan",55.68,55.68,55.68
"2","Albania",26.35,26.35,26.35
"3","Algeria",10.15,10.15,10.15
"4","Angola",145.4,145.4,145.4
"5","Argentina",860.2,860.2,860.2
"6","Armenia",4.858,4.858,4.858
"7","Australia",440,440,440
"8","Austria",77.7,77.7,77.7
"9","Azerbaijan",32.52,32.52,32.52
"10","Bahrain",0.004,0.004,0.004
"11","Bangladesh",1206,1206,1206
"12","Barbados",0.008,0.008,0.008
"13","Belarus",57.9,57.9,57.9
"14","Belgium",18.3,18.3,18.3
"15","Belize",21.73,21.73,21.73
"16","Benin",26.09,26.09,26.09
"17","Bhutan",78,78,78
"18","Bolivia (Plurinational State of)",547.9,547.9,547.9
"19","Bosnia and Herzegovina",36.34,36.34,36.34
"20","Botswana",10.64,10.64,10.64
"21","Brazil",8647,8647,8647
"22","Brunei Darussalam",8.5,8.5,8.5
"23","Bulgaria",20.4,20.4,20.4
"24","Burkina Faso",9,9,9
"25","Burundi",12.54,12.54,12.54
"26","Cabo Verde",0.181,0.181,0.181
"27","Cambodia",471.5,471.5,471.5
"28","Cameroon",278.1,278.1,278.1
"29","Canada",2892,2892,2892
"30","Central African Republic",141,141,141
"31","Chad",44.2,44.2,44.2
"32","Chile",923.1,923.1,923.1
"33","China",2739,2739,2739
"34","Colombia",2360,2360,2360
"35","Comoros",0.2,0.2,0.2
"36","Congo",832,832,832
"37","Costa Rica",113,113,113
"38","Croatia",95,95,95
"39","Cuba",31.64,31.64,31.64
"40","Cyprus",0.56,0.56,0.56
"41","Czechia",13.15,13.15,13.15
"42","Côte d'Ivoire",81.3,81.3,81.3
"43","Democratic People's Republic of Korea",76.15,76.15,76.15
"44","Democratic Republic of the Congo",1282,1282,1282
"45","Denmark",3.7,3.7,3.7
"46","Djibouti",0.3,0.3,0.3
"47","Dominican Republic",23.5,23.5,23.5
"48","Ecuador",432,432,432
"49","Egypt",56,56,56
"50","El Salvador",22.69,22.69,22.69
"51","Equatorial Guinea",25,25,25
"52","Eritrea",7.215,7.215,7.215
"53","Estonia",11.81,11.81,11.81
"54","Eswatini",4.51,4.51,4.51
"55","Ethiopia",120,120,120
"56","Fiji",28.55,28.55,28.55
"57","Finland",109.8,109.8,109.8
"58","France",209,209,209
"59","Gabon",164,164,164
"60","Gambia",8,8,8
"61","Georgia",62.1,62.1,62.1
"62","Germany",153.3,153.3,153.3
"63","Ghana",54.9,54.9,54.9
"64","Greece",65.9,65.9,65.9
"65","Guatemala",119.4,119.4,119.4
"66","Guinea",226,226,226
"67","Guinea-Bissau",27.4,27.4,27.4
"68","Guyana",271,271,271
"69","Haiti",11.87,11.87,11.87
"70","Honduras",83.07,83.07,83.07
"71","Hungary",104,104,104
"72","Iceland",166,166,166
"73","India",1869,1869,1869
"74","Indonesia",1973,1973,1973
"75","Iran (Islamic Republic of)",105.8,105.8,105.8
"76","Iraq",88.58,88.58,88.58
"77","Ireland",51.2,51.2,51.2
"78","Israel",0.555,0.555,0.555
"79","Italy",179.3,179.3,179.3
