"","Area","Y2020","Y2025","Y2030"
"1","Afghanistan",7920.31193975831,7928.71070046779,7930.79273027532
"2","Albania",711,718.5,726
"3","Algeria",8554.90909090767,8692.81818181533,8830.727272723
"4","Andorra",0.78,0.78,0.78
"5","Angola",5370.90909090857,5551.81818181714,5732.72727272572
"6","Antigua and Barbuda",5.07734878581883,5.10953552078608,5.10953552078608
"7","Argentina",42030.8181818291,43861.6363636581,45692.4545454872
"8","Armenia",497.933333333333,497.933333333333,497.933333333333
"9","Australia",46979.8216532104,46654.9881982571,46830.3171730356
"10","Austria",1368.68743907617,1347.05617464109,1312.58542826304
"11","Azerbaijan",2285.19999999792,2330.39999999585,2375.59999999377
"12","Bahamas",12.4046978282833,12.6450941705254,12.9521945482941
"13","Bahrain",4.31666666666644,4.31666666666644,4.31666666666644
"14","Bangladesh",8594,8594,8594
"15","Barbados",5,2,2
"16","Belarus",5932.12422270013,5908.00331383158,5908.00331383158
"17","Belgium",852.6,852.6,852.6
"18","Belize",116.181818181748,122.363636363495,128.545454545243
"19","Benin",3398.18181818129,3596.36363636258,3794.54545454387
"20","Bhutan",119.523999987043,126.212493445411,129.520386434578
"21","Bolivia (Plurinational State of)",4979.8181818137,5274.63636362739,5569.45454544109
"22","Bosnia and Herzegovina",1155.99999999999,1181.99999999999,1207.99999999998
"23","Botswana",261.6,261.6,261.6
"24","Brazil",92758.0909090909,97970.1818181818,103182.272727273
"25","Brunei Darussalam",11,11,11
"26","Bulgaria",3637,3637,3637
"27","Burkina Faso",6459.18181817992,6818.36363635985,7177.54545453977
"28","Burundi",1606.36363636416,1662.72727272832,1719.09090909247
"29","Cabo Verde",54,54,54
"30","Cambodia",3955,3955,3955
"31","Cameroon",7948.18181818217,8146.36363636434,8344.54545454651
"32","Canada",48410,48410,48410
"33","Central African Republic",1791.68933598393,1763.3692364214,1694.29677853894
"34","Chad",5119.9999999985,5304.99999999701,5489.99999999551
"35","Chile",1717.91596396036,1711.56829390116,1707.1327197792
"36","China",135698,135698,135698
"37","Colombia",3794.27588574112,3935.45596635319,3990.85240000312
"38","Comoros",121.454545454519,124.909090909038,128.363636363558
"39","Congo",611.630351794305,593.685350363579,582.241570628126
"40","Cook Islands",1.09090909090906,0.68181818181811,0.272727272727165
"41","Costa Rica",559.5,559.5,559.5
"42","Croatia",1037.06666666667,1037.06666666667,1037.06666666667
"43","Cuba",3312.24792637697,3152.49585275394,2992.74377913091
"44","Cyprus",110.9,110.9,110.9
"45","Czechia",3135,3135,3135
"46","Côte d'Ivoire",7810.90909090364,8221.81818180728,8632.72727271092
"47","Democratic People's Republic of Korea",2602.72727272726,2625.45454545453,2648.1818181818
"48","Democratic Republic of the Congo",8000,8000,8000
"49","Denmark",2341.18181818143,2304.36363636286,2267.54545454429
"50","Djibouti",2.09090909090822,2.18181818181645,2.27272727272467
"51","Dominica",23,23,23
"52","Dominican Republic",1183.45680175097,1223.72595031902,1259.30613946557
"53","Ecuador",2475.30316499467,2591.17217819783,2667.97051168849
"54","Egypt",3774.2698014209,3875.7250137701,4002.27766520529
"55","El Salvador",989.574109339217,1009.32365594467,1046.6886329258
"56","Equatorial Guinea",170.489947063543,160.979894127086,151.469841190629
"57","Eritrea",602.8,602.8,602.8
"58","Estonia",824.349178530079,931.891639892755,970.844281433609
"59","Eswatini",190,190,190
"60","Ethiopia",16259,16259,16259
"61","Faroe Islands",3,3,3
"62","Fiji",248.648958834278,248.648958834278,248.648958834278
"63","Finland",2249,2249,2249
"64","France",19540.4254935635,19497.3721566064,19497.3721566064
"65","Gabon",495,495,495
"66","Gambia",474.090909090727,503.181818181455,532.272727272182
"67","Georgia",318.999999993668,183.999999987337,48.9999999810054
"68","Germany",11963,11963,11963
"69","Ghana",7404.12741947737,7606.74965730906,8025.38418223673
"70","Greece",3140.47185694243,2787.25886117576,2620.28272081501
"71","Grenada",5.35986816050072,4.41235162891463,3.17234887567081
"72","Guatemala",2045,2045,2045
"73","Guinea",3769.58032100908,3676.28795643702,3581.46091932623
"74","Guinea-Bissau",553.376874801213,576.061753945845,598.746633090477
"75","Guyana",482.099712947927,488.754397194393,492.414386700817
"76","Haiti",1350,1350,1350
"77","Honduras",1523.48986809282,1552.30360447686,1569.42535458802
"78","Hungary",4370.28690613055,4279.89876351382,4159.01648865169
"79","Iceland",123.518944426028,127.630398763812,131.683893447116
"80","India",169580,169697,169814
"81","Indonesia",47818.1818181695,49636.3636363389,51454.5454545084
"82","Iran (Islamic Republic of)",16477,16477,16477
"83","Iraq",5097.33333333368,5097.33333333368,5097.33333333368
"84","Ireland",344.909090909337,242.818181818675,140.727272728012
"85","Israel",400.374858621328,404.225919825735,405.99677627486
"86","Italy",8461.6363636365,7869.272727273,7276.9090909095
"87","Jamaica",215,215,215
"88","Japan",4330.18181818363,4189.36363636726,4048.5454545509
"89","Jordan",313.583952041625,309.544291165733,307.97758755056
"90","Kazakhstan",30683.8333333333,30683.8333333333,30683.8333333333
"91","Kenya",6550.45454544833,6770.90909089666,6991.36363634499
"92","Kiribati",34.1868375340374,34.1868375340374,34.1868375340374
"93","Kuwait",15.1818181818013,16.3636363636026,17.5454545454039
"94","Kyrgyzstan",1382.33333333333,1382.33333333333,1382.33333333333
"95","Lao People's Democratic Republic",1769,1844,1919
"96","Latvia",1244.5,1244.5,1244.5
"97","Lebanon",258,258,258
"98","Lesotho",327.691666666667,327.691666666667,327.691666666667
"99","Liberia",700,700,700
"100","Libya",2067.18883595501,2076.27023967533,2081.06823145017
"101","Liechtenstein",1.32,0.48,0.48
"102","Lithuania",2311.33333333333,2311.33333333333,2311.33333333333
"103","Luxembourg",63.3824999999991,63.3824999999991,63.3824999999991
"104","Madagascar",4297.2727272725,4474.54545454499,4651.81818181748
"105","Malawi",4165.45454545764,4390.90909091529,4616.36363637293
"106","Malaysia",8812.53379512358,9299.12648978662,9785.71918444965
"107","Maldives",6.9,6.9,6.9
"108","Mali",7002.63636363323,7444.27272726647,7885.9090908997
"109","Malta",9.77818181818181,9.17636363636362,8.57454545454544
"110","Marshall Islands",9.03066666666667,9.03066666666667,9.03066666666667
"111","Mauritania",461,461,461
"112","Mauritius",78,77,76
"113","Mexico",25187,25187,25187
"114","Micronesia (Federated States of)",19.3533333333337,19.3533333333337,19.3533333333337
"115","Mongolia",638.840647591424,750.454329840844,846.733074323367
"116","Montenegro",131,131,131
"117","Morocco",9429.55872332482,9429.55872332482,9429.55872332482
"118","Mozambique",6093.49397146667,6302.35698166387,6540.99902146683
"119","Myanmar",12674,12890,13106
"120","Namibia",809,809,809
"121","Nauru",0.391666666666667,0.391666666666667,0.391666666666667
"122","Nepal",2326,2326,2326
"123","Netherlands",1066,1066,1066
"124","New Zealand",429.545454546513,214.090909093026,214.090909093026
"125","Nicaragua",1851.65008388093,1851.65008388093,1851.65008388093
"126","Niger",16900,16900,16900
"127","Nigeria",40500,40500,40500
"128","Niue",4,4,4
"129","North Macedonia",414.800000000268,373.600000000536,332.400000000804
"130","Norway",828.053767358635,849.141073306615,843.770926358495
"131","Occupied Palestinian Territory",146.9,146.9,146.9
"132","Oman",89.5454545454362,94.0909090908723,98.6363636363085
"133","Pakistan",31480.0833333333,31480.0833333333,31480.0833333333
"134","Palau",3,3,3
"135","Panama",764.727272726822,781.454545453644,798.181818180465
"136","Papua New Guinea",1076.34992484487,1120.1952406897,1177.87880992367
"137","Paraguay",5375.30001687896,5865.60003375792,6355.90005063688
"138","Peru",5140.45454545435,5393.90909090871,5647.36363636306
"139","Philippines",11300.0000000006,11660.0000000013,12020.0000000019
"140","Poland",11042.1233600941,10621.7546897327,10201.3860193714
"141","Portugal",1619.36363636231,1500.72727272462,1382.09090908693
"142","Puerto Rico",115.726837368366,118.447553607427,122.219927285268
"143","Qatar",18.1958622235545,19.5830064576899,20.9701506918253
"144","Republic of Korea",1644,1644,1644
"145","Republic of Moldova",2074.8,2053.6,2032.39999999999
"146","Romania",8864.45454545579,8728.90909091157,8593.36363636736
"147","Russian Federation",124722,124722,124722
"148","Rwanda",1472.63636363621,1543.27272727242,1613.90909090864
"149","Saint Kitts and Nevis",3.54240505978732,2.7313459123291,1.56248148733997
"150","Saint Lucia",10,10,10
"151","Saint Vincent and the Grenadines",8,8,8
"152","Samoa",30,30,30
"153","San Marino",1,1,1
"154","Sao Tome and Principe",48.9454545454535,50.1909090909069,51.4363636363604
"155","Saudi Arabia",4022.79212036726,4022.79212036726,4022.79212036726
"156","Senegal",3129.08333333333,3129.08333333333,3129.08333333333
"157","Serbia",2761.65000697509,2783.8943423534,2763.57357856852
"158","Seychelles",1.55,1.55,1.55
"159","Sierra Leone",1861,1973,2085
"160","Singapore",0.59,0.52,0.45
"161","Slovakia",1443.2,1443.2,1443.2
"162","Slovenia",218.9,218.9,218.9
"163","Solomon Islands",104.54545454542,109.090909090839,113.636363636259
"164","Somalia",1125,1125,1125
"165","South Africa",12913,12913,12913
"166","Spain",16687.6363636364,16342.2727272727,15996.9090909091
"167","Sri Lanka",2370.72727272736,2441.45454545473,2512.18181818209
"168","Suriname",71,71,71
"169","Sweden",2497.45454545263,2414.90909090527,2332.3636363579
"170","Switzerland",423.8,423.8,423.8
"171","Syrian Arab Republic",5733,5733,5733
"172","Tajikistan",838.599999999984,814.199999999968,789.799999999952
"173","Thailand",21479.0660077182,21593.3992675813,21670.7187387592
"174","Timor-Leste",243.63636363636,257.27272727272,270.90909090908
"175","Togo",2906.36363636301,2992.72727272603,3079.09090908904
"176","Tokelau",0.618181818181683,0.636363636363366,0.654545454545048
"177","Tonga",28.2490859157232,28.2841814027997,28.2841814027997
"178","Trinidad and Tobago",42.9090909090897,38.8181818181794,34.727272727269
"179","Tunisia",5321.27272727003,5410.54545454006,5499.81818181008
"180","Turkey",23118.4122012838,22526.8244025676,21935.2366038513
"181","Turkmenistan",1925,1925,1925
"182","Tuvalu",1.8,1.8,1.8
"183","Uganda",9553.27272727322,10006.5454545464,10459.8181818197
"184","Ukraine",33989.8183017325,34142.8495494659,34048.765813585
"185","United Arab Emirates",83.8,83.8,83.8
"186","United Kingdom",5956.81818181951,5840.63636363902,5724.45454545852
"187","United Republic of Tanzania",16527.2727272743,17404.5454545486,18281.818181823
"188","United States of America",148920.80471694,145419.811634664,139995.002367575
"189","Uruguay",2474.89287485541,2330.0428409626,2105.80134799378
"190","Uzbekistan",4788.5,4788.5,4788.5
"191","Vanuatu",150.90909090909,156.818181818179,162.727272727269
"192","Venezuela (Bolivarian Republic of)",3475,3475,3475
"193","Viet Nam",12921,14306,15691
"194","Yemen",1546,1546,1546
"195","Zambia",3836,3836,3836
"196","Zimbabwe",4287.7272727276,4475.4545454552,4663.1818181828
