"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",2,"Total area of the country (excl. coastal waters)",4100,1962,65286.0,"E","",""
"Afghanistan",2,"Total area of the country (excl. coastal waters)",4100,1967,65286.0,"E","",""
"Afghanistan",2,"Total area of the country (excl. coastal waters)",4100,1972,65286.0,"E","",""
"Afghanistan",2,"Total area of the country (excl. coastal waters)",4100,1977,65286.0,"E","",""
"Afghanistan",2,"Total area of the country (excl. coastal waters)",4100,1982,65286.0,"E","",""
"Afghanistan",2,"Total area of the country (excl. coastal waters)",4100,1987,65286.0,"E","",""
"Afghanistan",2,"Total area of the country (excl. coastal waters)",4100,1992,65286.0,"E","",""
"Afghanistan",2,"Total area of the country (excl. coastal waters)",4100,1997,65286.0,"E","",""
"Afghanistan",2,"Total area of the country (excl. coastal waters)",4100,2002,65286.0,"E","",""
"Afghanistan",2,"Total area of the country (excl. coastal waters)",4100,2007,65286.0,"E","",""
"Afghanistan",2,"Total area of the country (excl. coastal waters)",4100,2012,65286.0,"E","",""
"Afghanistan",2,"Total area of the country (excl. coastal waters)",4100,2016,65286.0,"E","",""
"Armenia",1,"Total area of the country (excl. coastal waters)",4100,1992,2974.0,"E","",""
"Armenia",1,"Total area of the country (excl. coastal waters)",4100,1997,2974.0,"E","",""
"Armenia",1,"Total area of the country (excl. coastal waters)",4100,2002,2974.0,"E","",""
"Armenia",1,"Total area of the country (excl. coastal waters)",4100,2007,2974.0,"E","",""
"Armenia",1,"Total area of the country (excl. coastal waters)",4100,2012,2974.0,"E","",""
"Armenia",1,"Total area of the country (excl. coastal waters)",4100,2016,2974.0,"E","",""
"Azerbaijan",52,"Total area of the country (excl. coastal waters)",4100,1992,8660.0,"E","",""
"Azerbaijan",52,"Total area of the country (excl. coastal waters)",4100,1997,8660.0,"E","",""
"Azerbaijan",52,"Total area of the country (excl. coastal waters)",4100,2002,8660.0,"E","",""
"Azerbaijan",52,"Total area of the country (excl. coastal waters)",4100,2007,8660.0,"E","",""
"Azerbaijan",52,"Total area of the country (excl. coastal waters)",4100,2012,8660.0,"E","",""
"Azerbaijan",52,"Total area of the country (excl. coastal waters)",4100,2016,8660.0,"E","",""
"Bahrain",13,"Total area of the country (excl. coastal waters)",4100,1962,69.0,"E","",""
"Bahrain",13,"Total area of the country (excl. coastal waters)",4100,1967,69.0,"E","",""
"Bahrain",13,"Total area of the country (excl. coastal waters)",4100,1972,69.0,"E","",""
"Bahrain",13,"Total area of the country (excl. coastal waters)",4100,1977,69.0,"E","",""
"Bahrain",13,"Total area of the country (excl. coastal waters)",4100,1982,69.0,"E","",""
"Bahrain",13,"Total area of the country (excl. coastal waters)",4100,1987,69.0,"E","",""
"Bahrain",13,"Total area of the country (excl. coastal waters)",4100,1992,71.0,"E","",""
"Bahrain",13,"Total area of the country (excl. coastal waters)",4100,1997,71.0,"E","",""
"Bahrain",13,"Total area of the country (excl. coastal waters)",4100,2002,71.0,"E","",""
"Bahrain",13,"Total area of the country (excl. coastal waters)",4100,2007,75.0,"E","",""
"Bahrain",13,"Total area of the country (excl. coastal waters)",4100,2012,77.0,"E","",""
"Bahrain",13,"Total area of the country (excl. coastal waters)",4100,2016,77.8,"E","",""
"Bangladesh",16,"Total area of the country (excl. coastal waters)",4100,1962,14846.0,"E","",""
"Bangladesh",16,"Total area of the country (excl. coastal waters)",4100,1967,14846.0,"E","",""
"Bangladesh",16,"Total area of the country (excl. coastal waters)",4100,1972,14846.0,"E","",""
"Bangladesh",16,"Total area of the country (excl. coastal waters)",4100,1977,14846.0,"E","",""
"Bangladesh",16,"Total area of the country (excl. coastal waters)",4100,1982,14846.0,"E","",""
"Bangladesh",16,"Total area of the country (excl. coastal waters)",4100,1987,14846.0,"E","",""
"Bangladesh",16,"Total area of the country (excl. coastal waters)",4100,1992,14846.0,"E","",""
"Bangladesh",16,"Total area of the country (excl. coastal waters)",4100,1997,14846.0,"E","",""
"Bangladesh",16,"Total area of the country (excl. coastal waters)",4100,2002,14846.0,"E","",""
"Bangladesh",16,"Total area of the country (excl. coastal waters)",4100,2007,14846.0,"E","",""
"Bangladesh",16,"Total area of the country (excl. coastal waters)",4100,2012,14846.0,"E","",""
"Bangladesh",16,"Total area of the country (excl. coastal waters)",4100,2016,14763.0,"E","",""
"Bhutan",18,"Total area of the country (excl. coastal waters)",4100,1962,4700.0,"E","",""
"Bhutan",18,"Total area of the country (excl. coastal waters)",4100,1967,4700.0,"E","",""
"Bhutan",18,"Total area of the country (excl. coastal waters)",4100,1972,4700.0,"E","",""
"Bhutan",18,"Total area of the country (excl. coastal waters)",4100,1977,4700.0,"E","",""
"Bhutan",18,"Total area of the country (excl. coastal waters)",4100,1982,4700.0,"E","",""
"Bhutan",18,"Total area of the country (excl. coastal waters)",4100,1987,4700.0,"E","",""
"Bhutan",18,"Total area of the country (excl. coastal waters)",4100,1992,4700.0,"E","",""
"Bhutan",18,"Total area of the country (excl. coastal waters)",4100,1997,4008.0,"E","",""
"Bhutan",18,"Total area of the country (excl. coastal waters)",4100,2002,4008.0,"E","",""
"Bhutan",18,"Total area of the country (excl. coastal waters)",4100,2007,3839.0,"E","",""
"Bhutan",18,"Total area of the country (excl. coastal waters)",4100,2012,3839.0,"E","",""
"Bhutan",18,"Total area of the country (excl. coastal waters)",4100,2016,3839.0,"E","",""
"Brunei Darussalam",26,"Total area of the country (excl. coastal waters)",4100,1962,577.0,"E","",""
"Brunei Darussalam",26,"Total area of the country (excl. coastal waters)",4100,1967,577.0,"E","",""
"Brunei Darussalam",26,"Total area of the country (excl. coastal waters)",4100,1972,577.0,"E","",""
"Brunei Darussalam",26,"Total area of the country (excl. coastal waters)",4100,1977,577.0,"E","",""
"Brunei Darussalam",26,"Total area of the country (excl. coastal waters)",4100,1982,577.0,"E","",""
"Brunei Darussalam",26,"Total area of the country (excl. coastal waters)",4100,1987,577.0,"E","",""
"Brunei Darussalam",26,"Total area of the country (excl. coastal waters)",4100,1992,577.0,"E","",""
"Brunei Darussalam",26,"Total area of the country (excl. coastal waters)",4100,1997,577.0,"E","",""
"Brunei Darussalam",26,"Total area of the country (excl. coastal waters)",4100,2002,577.0,"E","",""
"Brunei Darussalam",26,"Total area of the country (excl. coastal waters)",4100,2007,577.0,"E","",""
"Brunei Darussalam",26,"Total area of the country (excl. coastal waters)",4100,2012,577.0,"E","",""
"Brunei Darussalam",26,"Total area of the country (excl. coastal waters)",4100,2016,577.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1962,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1967,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1972,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1977,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1982,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1987,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1992,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,1997,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,2002,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,2007,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,2012,18104.0,"E","",""
"Cambodia",115,"Total area of the country (excl. coastal waters)",4100,2016,18104.0,"E","",""
