"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Albania",3,"Total area of the country (excl. coastal waters)",4100,1962,2875.0,"E","",""
"Albania",3,"Total area of the country (excl. coastal waters)",4100,1967,2875.0,"E","",""
"Albania",3,"Total area of the country (excl. coastal waters)",4100,1972,2875.0,"E","",""
"Albania",3,"Total area of the country (excl. coastal waters)",4100,1977,2875.0,"E","",""
"Albania",3,"Total area of the country (excl. coastal waters)",4100,1982,2875.0,"E","",""
"Albania",3,"Total area of the country (excl. coastal waters)",4100,1987,2875.0,"E","",""
"Albania",3,"Total area of the country (excl. coastal waters)",4100,1992,2875.0,"E","",""
"Albania",3,"Total area of the country (excl. coastal waters)",4100,1997,2875.0,"E","",""
"Albania",3,"Total area of the country (excl. coastal waters)",4100,2002,2875.0,"E","",""
"Albania",3,"Total area of the country (excl. coastal waters)",4100,2007,2875.0,"E","",""
"Albania",3,"Total area of the country (excl. coastal waters)",4100,2012,2875.0,"E","",""
"Albania",3,"Total area of the country (excl. coastal waters)",4100,2016,2875.0,"E","",""
"Andorra",6,"Total area of the country (excl. coastal waters)",4100,1962,47.0,"E","",""
"Andorra",6,"Total area of the country (excl. coastal waters)",4100,1967,47.0,"E","",""
"Andorra",6,"Total area of the country (excl. coastal waters)",4100,1972,47.0,"E","",""
"Andorra",6,"Total area of the country (excl. coastal waters)",4100,1977,47.0,"E","",""
"Andorra",6,"Total area of the country (excl. coastal waters)",4100,1982,47.0,"E","",""
"Andorra",6,"Total area of the country (excl. coastal waters)",4100,1987,47.0,"E","",""
"Andorra",6,"Total area of the country (excl. coastal waters)",4100,1992,47.0,"E","",""
"Andorra",6,"Total area of the country (excl. coastal waters)",4100,1997,47.0,"E","",""
"Andorra",6,"Total area of the country (excl. coastal waters)",4100,2002,47.0,"E","",""
"Andorra",6,"Total area of the country (excl. coastal waters)",4100,2007,47.0,"E","",""
"Andorra",6,"Total area of the country (excl. coastal waters)",4100,2012,47.0,"E","",""
"Andorra",6,"Total area of the country (excl. coastal waters)",4100,2016,47.0,"E","",""
"Austria",11,"Total area of the country (excl. coastal waters)",4100,1962,8388.0,"E","",""
"Austria",11,"Total area of the country (excl. coastal waters)",4100,1967,8388.0,"E","",""
"Austria",11,"Total area of the country (excl. coastal waters)",4100,1972,8388.0,"E","",""
"Austria",11,"Total area of the country (excl. coastal waters)",4100,1977,8388.0,"E","",""
"Austria",11,"Total area of the country (excl. coastal waters)",4100,1982,8388.0,"E","",""
"Austria",11,"Total area of the country (excl. coastal waters)",4100,1987,8388.0,"E","",""
"Austria",11,"Total area of the country (excl. coastal waters)",4100,1992,8388.0,"E","",""
"Austria",11,"Total area of the country (excl. coastal waters)",4100,1997,8388.0,"E","",""
"Austria",11,"Total area of the country (excl. coastal waters)",4100,2002,8388.0,"E","",""
"Austria",11,"Total area of the country (excl. coastal waters)",4100,2007,8388.0,"E","",""
"Austria",11,"Total area of the country (excl. coastal waters)",4100,2012,8388.0,"E","",""
"Austria",11,"Total area of the country (excl. coastal waters)",4100,2016,8388.0,"E","",""
"Belarus",57,"Total area of the country (excl. coastal waters)",4100,1992,20760.0,"E","",""
"Belarus",57,"Total area of the country (excl. coastal waters)",4100,1997,20760.0,"E","",""
"Belarus",57,"Total area of the country (excl. coastal waters)",4100,2002,20760.0,"E","",""
"Belarus",57,"Total area of the country (excl. coastal waters)",4100,2007,20760.0,"E","",""
"Belarus",57,"Total area of the country (excl. coastal waters)",4100,2012,20760.0,"E","",""
"Belarus",57,"Total area of the country (excl. coastal waters)",4100,2016,20760.0,"E","",""
"Belgium",255,"Total area of the country (excl. coastal waters)",4100,2002,3053.0,"E","",""
"Belgium",255,"Total area of the country (excl. coastal waters)",4100,2007,3053.0,"E","",""
"Belgium",255,"Total area of the country (excl. coastal waters)",4100,2012,3053.0,"E","",""
"Belgium",255,"Total area of the country (excl. coastal waters)",4100,2016,3053.0,"E","",""
"Bosnia and Herzegovina",80,"Total area of the country (excl. coastal waters)",4100,1992,5121.0,"E","",""
"Bosnia and Herzegovina",80,"Total area of the country (excl. coastal waters)",4100,1997,5121.0,"E","",""
"Bosnia and Herzegovina",80,"Total area of the country (excl. coastal waters)",4100,2002,5121.0,"E","",""
"Bosnia and Herzegovina",80,"Total area of the country (excl. coastal waters)",4100,2007,5121.0,"E","",""
"Bosnia and Herzegovina",80,"Total area of the country (excl. coastal waters)",4100,2012,5121.0,"E","",""
"Bosnia and Herzegovina",80,"Total area of the country (excl. coastal waters)",4100,2016,5121.0,"E","",""
"Bulgaria",27,"Total area of the country (excl. coastal waters)",4100,1962,11099.0,"E","",""
