"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Australia",10,"Total area of the country (excl. coastal waters)",4100,1962,774122.0,"E","",""
"Australia",10,"Total area of the country (excl. coastal waters)",4100,1967,774122.0,"E","",""
"Australia",10,"Total area of the country (excl. coastal waters)",4100,1972,774122.0,"E","",""
"Australia",10,"Total area of the country (excl. coastal waters)",4100,1977,774122.0,"E","",""
"Australia",10,"Total area of the country (excl. coastal waters)",4100,1982,774122.0,"E","",""
"Australia",10,"Total area of the country (excl. coastal waters)",4100,1987,774122.0,"E","",""
"Australia",10,"Total area of the country (excl. coastal waters)",4100,1992,774122.0,"E","",""
"Australia",10,"Total area of the country (excl. coastal waters)",4100,1997,774122.0,"E","",""
"Australia",10,"Total area of the country (excl. coastal waters)",4100,2002,774122.0,"E","",""
"Australia",10,"Total area of the country (excl. coastal waters)",4100,2007,774122.0,"E","",""
"Australia",10,"Total area of the country (excl. coastal waters)",4100,2012,774122.0,"E","",""
"Australia",10,"Total area of the country (excl. coastal waters)",4100,2016,774122.0,"E","",""
"Cook Islands",47,"Total area of the country (excl. coastal waters)",4100,1962,24.0,"E","",""
"Cook Islands",47,"Total area of the country (excl. coastal waters)",4100,1967,24.0,"E","",""
"Cook Islands",47,"Total area of the country (excl. coastal waters)",4100,1972,24.0,"E","",""
"Cook Islands",47,"Total area of the country (excl. coastal waters)",4100,1977,24.0,"E","",""
"Cook Islands",47,"Total area of the country (excl. coastal waters)",4100,1982,24.0,"E","",""
"Cook Islands",47,"Total area of the country (excl. coastal waters)",4100,1987,24.0,"E","",""
"Cook Islands",47,"Total area of the country (excl. coastal waters)",4100,1992,24.0,"E","",""
"Cook Islands",47,"Total area of the country (excl. coastal waters)",4100,1997,24.0,"E","",""
"Cook Islands",47,"Total area of the country (excl. coastal waters)",4100,2002,24.0,"E","",""
"Cook Islands",47,"Total area of the country (excl. coastal waters)",4100,2007,24.0,"E","",""
"Cook Islands",47,"Total area of the country (excl. coastal waters)",4100,2012,24.0,"E","",""
"Cook Islands",47,"Total area of the country (excl. coastal waters)",4100,2016,24.0,"E","",""
"Fiji",66,"Total area of the country (excl. coastal waters)",4100,1962,1827.0,"E","",""
"Fiji",66,"Total area of the country (excl. coastal waters)",4100,1967,1827.0,"E","",""
"Fiji",66,"Total area of the country (excl. coastal waters)",4100,1972,1827.0,"E","",""
"Fiji",66,"Total area of the country (excl. coastal waters)",4100,1977,1827.0,"E","",""
"Fiji",66,"Total area of the country (excl. coastal waters)",4100,1982,1827.0,"E","",""
"Fiji",66,"Total area of the country (excl. coastal waters)",4100,1987,1827.0,"E","",""
"Fiji",66,"Total area of the country (excl. coastal waters)",4100,1992,1827.0,"E","",""
"Fiji",66,"Total area of the country (excl. coastal waters)",4100,1997,1827.0,"E","",""
"Fiji",66,"Total area of the country (excl. coastal waters)",4100,2002,1827.0,"E","",""
"Fiji",66,"Total area of the country (excl. coastal waters)",4100,2007,1827.0,"E","",""
"Fiji",66,"Total area of the country (excl. coastal waters)",4100,2012,1827.0,"E","",""
"Fiji",66,"Total area of the country (excl. coastal waters)",4100,2016,1827.0,"E","",""
"Kiribati",83,"Total area of the country (excl. coastal waters)",4100,1962,81.0,"E","",""
"Kiribati",83,"Total area of the country (excl. coastal waters)",4100,1967,81.0,"E","",""
"Kiribati",83,"Total area of the country (excl. coastal waters)",4100,1972,81.0,"E","",""
"Kiribati",83,"Total area of the country (excl. coastal waters)",4100,1977,81.0,"E","",""
"Kiribati",83,"Total area of the country (excl. coastal waters)",4100,1982,81.0,"E","",""
"Kiribati",83,"Total area of the country (excl. coastal waters)",4100,1987,81.0,"E","",""
"Kiribati",83,"Total area of the country (excl. coastal waters)",4100,1992,81.0,"E","",""
"Kiribati",83,"Total area of the country (excl. coastal waters)",4100,1997,81.0,"E","",""
"Kiribati",83,"Total area of the country (excl. coastal waters)",4100,2002,81.0,"E","",""
"Kiribati",83,"Total area of the country (excl. coastal waters)",4100,2007,81.0,"E","",""
"Kiribati",83,"Total area of the country (excl. coastal waters)",4100,2012,81.0,"E","",""
"Kiribati",83,"Total area of the country (excl. coastal waters)",4100,2016,81.0,"E","",""
"Marshall Islands",127,"Total area of the country (excl. coastal waters)",4100,1962,18.0,"E","",""
"Marshall Islands",127,"Total area of the country (excl. coastal waters)",4100,1967,18.0,"E","",""
"Marshall Islands",127,"Total area of the country (excl. coastal waters)",4100,1972,18.0,"E","",""
"Marshall Islands",127,"Total area of the country (excl. coastal waters)",4100,1977,18.0,"E","",""
"Marshall Islands",127,"Total area of the country (excl. coastal waters)",4100,1982,18.0,"E","",""
"Marshall Islands",127,"Total area of the country (excl. coastal waters)",4100,1987,18.0,"E","",""
"Marshall Islands",127,"Total area of the country (excl. coastal waters)",4100,1992,18.0,"E","",""
"Marshall Islands",127,"Total area of the country (excl. coastal waters)",4100,1997,18.0,"E","",""
"Marshall Islands",127,"Total area of the country (excl. coastal waters)",4100,2002,18.0,"E","",""
"Marshall Islands",127,"Total area of the country (excl. coastal waters)",4100,2007,18.0,"E","",""
"Marshall Islands",127,"Total area of the country (excl. coastal waters)",4100,2012,18.0,"E","",""
"Marshall Islands",127,"Total area of the country (excl. coastal waters)",4100,2016,18.0,"E","",""
"Micronesia (Federated States of)",145,"Total area of the country (excl. coastal waters)",4100,1962,70.0,"E","",""
"Micronesia (Federated States of)",145,"Total area of the country (excl. coastal waters)",4100,1967,70.0,"E","",""
"Micronesia (Federated States of)",145,"Total area of the country (excl. coastal waters)",4100,1972,70.0,"E","",""
"Micronesia (Federated States of)",145,"Total area of the country (excl. coastal waters)",4100,1977,70.0,"E","",""
"Micronesia (Federated States of)",145,"Total area of the country (excl. coastal waters)",4100,1982,70.0,"E","",""
"Micronesia (Federated States of)",145,"Total area of the country (excl. coastal waters)",4100,1987,70.0,"E","",""
"Micronesia (Federated States of)",145,"Total area of the country (excl. coastal waters)",4100,1992,70.0,"E","",""
"Micronesia (Federated States of)",145,"Total area of the country (excl. coastal waters)",4100,1997,70.0,"E","",""
"Micronesia (Federated States of)",145,"Total area of the country (excl. coastal waters)",4100,2002,70.0,"E","",""
"Micronesia (Federated States of)",145,"Total area of the country (excl. coastal waters)",4100,2007,70.0,"E","",""
"Micronesia (Federated States of)",145,"Total area of the country (excl. coastal waters)",4100,2012,70.0,"E","",""
"Micronesia (Federated States of)",145,"Total area of the country (excl. coastal waters)",4100,2016,70.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1962,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1967,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1972,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1977,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1982,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1987,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1992,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,1997,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,2002,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,2007,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,2012,2.0,"E","",""
"Nauru",148,"Total area of the country (excl. coastal waters)",4100,2016,2.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1962,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1967,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1972,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1977,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1982,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1987,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1992,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,1997,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,2002,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,2007,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,2012,26771.0,"E","",""
"New Zealand",156,"Total area of the country (excl. coastal waters)",4100,2016,26771.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,1962,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,1967,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,1972,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,1977,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,1982,26.0,"E","",""
"Niue",160,"Total area of the country (excl. coastal waters)",4100,1987,26.0,"E","",""
