Area,Year,raw,calc
Afghanistan,1975,28.89,
Afghanistan,1987,70.49,70.4913606911447
Afghanistan,2000,54.75,
Albania,1990,7.212000000000001,
Albania,2000,11.05,
Albania,2006,7.879,
Algeria,1970,28.13,
Algeria,1975,35.16,
Algeria,1980,42.19,
Algeria,1985,49.23,
Algeria,1990,62.39,
Algeria,2001,80.25,
Algeria,2012,109.8,109.84528832630097
Algeria,2016,127.6,
Angola,1987,1.273,1.273209549071618
Angola,2000,1.699,
Angola,2005,1.8719999999999999,
Antigua and Barbuda,1990,3.2689999999999997,
Antigua and Barbuda,2005,9.808,
Antigua and Barbuda,2012,8.462,
Argentina,1976,7.6579999999999995,
Argentina,1995,7.93,
Argentina,2011,10.46,
Armenia,1995,59.01,
Armenia,2002,34.96,34.96066169053863
Armenia,2007,57.66,57.6558402259431
Armenia,2012,59.33,59.33024006455517
Armenia,2017,57.43,57.43393181359692
Australia,1996,8.857999999999999,
Australia,2001,8.645,
Australia,2005,7.443,
Australia,2012,6.212000000000001,6.212303980699638
Australia,2016,6.24,
Austria,1980,9.229,
Austria,1985,9.887,
Austria,1990,10.51,
Austria,1997,10.06,10.063553467808786
Austria,2002,10.13,10.12987012987013
Austria,2010,9.649,
Azerbaijan,1992,71.52,71.52317880794702
Azerbaijan,1997,55.23,55.2317880794702
Azerbaijan,2002,44.46,44.459161147902876
Azerbaijan,2007,54.17,54.17218543046358
Azerbaijan,2012,52.85,52.8476821192053
Azerbaijan,2017,56.42,56.42384105960265
Bahrain,1990,161.1,
Bahrain,2003,205.8,
Bahrain,2016,132.2,
Bangladesh,2008,5.724,
Barbados,1962,37.5,
Barbados,1996,101.2,
Barbados,2005,87.5,
Belarus,1995,6.526,
Belarus,2000,6.055,
Belarus,2005,5.622999999999999,
Belarus,2010,5.102,
Belarus,2016,4.7860000000000005,
Belgium,1980,110.9,
Belgium,1997,94.47,94.47174447174447
Belgium,2002,82.74,82.73955773955774
Belgium,2007,76.34,76.33906633906633
Belgium,2009,73.73,
Belize,1987,0.2497,0.24968789013732834
Belize,2000,1.261,
Benin,1985,0.8252,
Benin,2001,0.9752,
Bhutan,2008,1.4140000000000001,
Bolivia (Plurinational State of),1987,0.6990000000000001,0.6989853438556934
Bolivia (Plurinational State of),2009,1.177,
Bosnia and Herzegovina,2005,2.218,
Bosnia and Herzegovina,2012,2.185,2.1845949535192566
Bosnia and Herzegovina,2013,2.177,
Botswana,1985,0.9411,
Botswana,1992,1.182,1.1816375614346961
Botswana,1995,1.5,
Botswana,2000,2.029,
Botswana,2012,2.032,2.031789187493464
Botswana,2016,2.105,
Brazil,1987,1.6569999999999998,1.6567375886524822
Brazil,1996,2.592,
Brazil,2006,2.7460000000000004,
Brazil,2010,3.536,
Brazil,2016,3.0,
Brunei Darussalam,1991,2.864,
Brunei Darussalam,1994,3.466,
Bulgaria,1980,104.8,
Bulgaria,1985,104.1,
Bulgaria,1990,55.39,
Bulgaria,2002,48.7,48.70278660654889
Bulgaria,2007,45.84,45.842264764579795
Bulgaria,2012,42.24,42.242589991869316
Bulgaria,2015,41.61,
Burkina Faso,1985,2.772,
Burkina Faso,1992,3.595,3.5946462715105163
Burkina Faso,2001,6.8420000000000005,
Burkina Faso,2005,7.82,
Burundi,1987,3.634,3.6337209302325597
Burundi,2000,10.47,
Cabo Verde,2001,6.767,
Cambodia,2006,1.037,
Cameroon,1987,0.5681,0.5681492109038736
Cameroon,1992,0.5739,0.5738880918220945
Cameroon,2000,1.3869999999999998,
Canada,1986,4.346,
Canada,1991,4.644,
Canada,1996,4.3469999999999995,
Canada,2007,4.255,4.2554067971163745
Canada,2011,3.6660000000000004,
Canada,2015,3.68,
Central African Republic,1987,0.0898,0.08981481481481483
Central African Republic,2000,0.3065,
Central African Republic,2005,0.3356,
Chad,1987,0.8838,0.8837890624999999
Chad,2002,4.146,4.146484374999999
Chad,2005,4.295,
Chile,1992,5.152,5.15236160487557
Chile,2006,8.979,
China,1980,32.41,
China,1985,35.14,
China,1990,36.52,
China,1993,38.38,
China,2000,40.16,
China,2007,41.73,41.73119065010956
China,2012,43.81,43.81300219138056
China,2015,43.4,
Colombia,2000,1.16,
Colombia,2008,1.7619999999999998,
Comoros,1999,0.8333,
Congo,1987,0.0239,0.023866348448687347
Congo,2002,0.0274,0.027446300715990447
Costa Rica,2012,3.991,3.991467576791809
Costa Rica,2015,5.445,
Croatia,2012,1.4880000000000002,1.4879946642952426
Croatia,2013,1.409,
Cuba,1995,17.93,
Cuba,2007,16.99,16.986065714777226
Cuba,2013,23.94,
Cyprus,1975,21.19,
Cyprus,1980,24.19,
Cyprus,1985,27.34,
Cyprus,1990,30.48,
Cyprus,1993,28.43,
Cyprus,2002,23.33,23.33242208857299
Cyprus,2007,22.43,22.43028977583379
Cyprus,2012,27.38,27.37834882449426
Cyprus,2016,29.8,
Czechia,1997,37.91,37.91058394160584
Czechia,2002,29.01,29.014598540145986
Czechia,2007,29.94,29.94221411192214
Czechia,2012,28.0,27.99574209245742
Czechia,2016,24.86,
Côte d'Ivoire,1987,3.1039999999999996,3.104203152364273
Côte d'Ivoire,1990,4.816,
Côte d'Ivoire,1994,5.394,
Côte d'Ivoire,2000,6.169,
Côte d'Ivoire,2005,6.782,
Côte d'Ivoire,2014,5.088,
Democratic People's Republic of Korea,2005,27.74,
Democratic Republic of the Congo,2000,0.1939,
Democratic Republic of the Congo,2005,0.2269,
Denmark,1970,19.47,
Denmark,1975,32.59,
Denmark,1980,32.59,
Denmark,1985,46.11,
Denmark,1990,33.69,
Denmark,1997,24.81,24.81070849107626
Denmark,2002,17.66,17.65548945375879
Denmark,2007,15.03,15.02974580854516
Denmark,2012,17.23,17.225527312060574
Djibouti,1985,2.667,
Djibouti,2000,6.267,
Dominica,1996,8.3,
Dominica,2000,8.3,
Dominica,2004,8.3,
Dominica,2010,10.0,
Dominican Republic,2000,26.96,
Dominican Republic,2005,30.21,
Dominican Republic,2010,39.55,
Ecuador,2000,6.407,
Ecuador,2005,6.782,
Egypt,1975,87.8,
Egypt,1995,106.8,
Egypt,2000,103.9,
Egypt,2012,124.0,124.04371584699452
Egypt,2017,119.5,119.48998178506373
El Salvador,1992,4.547,4.547099189020586
El Salvador,2000,8.584,
El Salvador,2005,13.21,
Equatorial Guinea,1987,0.0927,0.09267840593141799
Equatorial Guinea,2000,0.1613,
Eritrea,2000,7.938,
Eritrea,2004,11.18,
Estonia,1992,28.45,28.450887061877975
Estonia,1995,14.69,
Estonia,2002,15.29,15.285590653396799
Estonia,2007,19.84,19.83989614885331
Estonia,2012,17.64,17.643877109476417
Estonia,2014,18.61,
Eswatini,1980,47.71,
Eswatini,2000,75.67,
Ethiopia,2002,17.0,16.996941896024463
Ethiopia,2005,24.04,
Ethiopia,2016,32.26,
Fiji,1987,0.1051,
Fiji,2000,0.2862,
Fiji,2005,0.2974,
Finland,1970,7.825,
Finland,1975,8.418,
Finland,1980,8.774,
Finland,1985,9.485,
Finland,1990,5.566,
Finland,1995,6.132000000000001,
Finland,1999,5.521,
Finland,2006,15.56,
France,1980,27.1,
France,1985,30.53,
France,1992,34.33,34.32548367329073
France,1997,26.55,26.551693950801013
France,2002,28.33,28.32881029501882
France,2007,27.13,27.129475619364438
France,2012,24.2,24.196795938019783
France,2016,25.71,
Gabon,1987,0.2166,0.21660649819494593
Gabon,2000,0.4343,
Gabon,2005,0.5022,
Gambia,1982,0.435,0.4349717268377555
Gambia,2000,1.9680000000000002,
Georgia,2005,5.906000000000001,
Georgia,2008,5.938,
Germany,1991,63.42,
Germany,1995,61.95,
Germany,2001,53.6,
Germany,2007,44.22,44.21600877192983
Germany,2010,45.22,
Germany,2013,34.72,
Ghana,1970,1.308,
Ghana,2000,4.281000000000001,
Greece,1970,8.606,
Greece,1975,8.651,
Greece,1980,10.18,
Greece,1985,11.1,
Greece,1992,16.24,16.241149099736997
Greece,1997,17.57,17.57030143637467
Greece,2002,18.66,18.66477847461056
Greece,2007,19.41,19.407242565243777
Grenada,2005,5.0,
Grenada,2014,7.05,
Guatemala,2006,5.742999999999999,
Guinea,1987,1.138,1.1384615384615384
Guinea,2001,0.8512,
