area_id,area,1980,1985,1990,1995,2000,2005,2010,2015,2017,
4,Algeria,42.19,49.23,62.39,71.32,80.25,96.0333,111.817,127.6,,
7,Angola,1.273,1.273,1.415,1.557,1.699,1.872,1.872,1.872,,
8,Antigua and Barbuda,3.269,3.269,3.269,5.44867,7.62833,9.808,9.135,8.462,,
9,Argentina,7.658,7.74867,7.83933,7.93,8.869,9.808,10.46,8.462,,
2,Afghanistan,28.89,49.69,70.49,62.62,54.75,54.75,54.75,54.7,,
1,Armenia,59.01,59.01,59.01,59.01,34.96,57.66,59.33,58.38,57.43,
52,Azerbaijan,71.52,71.52,71.52,63.375,49.845,49.315,53.51,54.635,,
3,Albania,7.212,7.212,7.212,9.131,11.05,9.4645,7.879,7.879,7.879,
11,Austria,9.229,9.887,10.51,10.06,10.095,9.8895,9.649,9.649,9.649,
10,Australia,9.229,9.887,10.51,8.858,8.645,7.443,9.649,6.24,6.24,
53,Benin,0.8252,0.8752,0.9252,0.9752,0.9752,0.9752,0.9752,0.9752,,
20,Botswana,0.9411,1.182,1.5,2.029,2.0305,2.032,2.105,2.105,,
233,Burkina Faso,2.772,2.772,3.595,5.2185,6.842,7.82,7.82,7.82,,
29,Burundi,3.634,3.634,5.91267,8.19133,10.47,10.47,10.47,10.47,,
14,Barbados,101.2,101.2,101.2,101.2,94.35,87.5,87.5,87.5,,
23,Belize,0.2497,0.2497,0.5868,0.9239,1.261,1.261,1.261,1.261,,
21,Brazil,1.657,1.657,2.1245,2.592,2.669,2.746,3.536,3,,
13,Bahrain,161.1,161.1,161.1,183.45,205.8,181.267,156.733,132.2,,
16,Bangladesh,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,,
18,Bhutan,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,,
26,Brunei Darussalam,2.864,2.864,2.864,3.466,3.466,3.466,3.466,3.466,,
57,Belarus,6.526,6.526,6.526,6.526,6.055,5.623,5.102,4.786,,
255,Belgium,110.9,105.423,99.9467,94.47,82.74,76.34,73.73,73.73,,
80,Bosnia and Herzegovina,2.218,2.218,2.218,2.218,2.218,2.218,2.185,2.177,,
27,Bulgaria,104.8,104.1,55.39,52.045,48.7,45.84,42.24,41.61,,
19,Bolivia (Plurinational State of),19,19,19,19,19,19,19,19,,
32,Cameroon,0.5681,0.5681,0.5739,0.98045,1.387,1.387,1.387,1.387,,
37,Central African Republic,0.0898,0.0898,0.0898,0.19815,0.3065,0.3356,0.3356,0.3356,0.3356,
39,Chad,0.8838,0.8838,0.8838,2.5149,4.146,4.295,4.295,4.295,,
33,Canada,4.346,4.346,4.644,4.347,4.301,4.255,3.9675,3.68,,
49,Cuba,17.93,17.93,17.93,17.93,17.46,16.99,20.465,23.94,,
351,China,32.41,35.14,36.52,38.38,40.16,41.73,43.81,43.4,,
50,Cyprus,24.19,27.34,30.48,28.43,25.88,22.88,24.905,28.59,,
167,Czechia,37.91,37.91,37.91,37.91,33.46,29.475,28.97,26.43,,
55,Dominica,8.3,8.3,8.3,8.3,8.3,9.15,10,10,,
56,Dominican Republic,26.96,26.96,26.96,26.96,26.96,30.21,39.55,39.55,,
55,Denmark,32.59,46.11,33.69,29.25,21.235,16.345,16.13,17.23,17.23,
59,Egypt,92.55,97.3,102.05,106.8,103.9,110.6,117.3,124,121.75,
238,Ethiopia,24.04,24.04,24.04,24.04,24.04,24.04,26.78,29.52,32.26,
60,El Salvador,4.547,4.547,4.547,6.5655,8.584,10.897,13.21,13.21,13.21,
63,Estonia,28.45,28.45,28.45,14.69,14.99,17.565,19.84,18.74,18.125,
67,Finland,8.774,9.485,5.566,6.132,8.86733,12.2137,15.56,15.56,,
68,France,27.1,30.53,32.43,30.44,27.44,27.73,25.665,24.955,25.71,
66,Fiji,0.1051,0.1051,0.165467,0.225833,0.2862,0.2974,0.2974,0.2974,0.2974,
74,Gabon,0.2166,0.2166,0.289167,0.361733,0.4343,0.5022,0.5022,0.5022,0.5022,
175,Guinea-Bissau,0.1419,0.1419,0.1419,0.81895,1.496,1.496,1.496,1.496,1.496,
91,Guyana,3.333,3.333,3.333,3.5385,3.744,3.5215,3.299,3.299,3.299,
79,Germany,63.42,63.42,63.42,61.95,57.775,48.91,45.22,34.72,34.72,
84,Greece,10.18,11.1,13.67,16.905,18.115,19.035,19.41,19.41,19.41,
93,Haiti,9.038,9.038,9.038,11.85,12.3567,12.8633,13.37,13.37,13.37,
97,Hungary,8.299,10.97,11.65,11.355,10.1295,9.7615,9.644,9.184,8.724,
100,India,45,48.035,51.34,57.01,62.68,64.585,66.49,66.49,,
101,Indonesia,9.909,9.909,9.909,12.5095,15.11,18.7525,22.395,26.0375,,
102,Iran (Islamic Republic of),47.6825,55.995,64.3075,72.62,75.55,81.45,81.45,81.45,,
103,Iraq,57.3,57.61,60.11,76.39,92.68,83.0425,73.405,63.7675,,
105,Israel,141.7,145.05,136.7,132.2,132.65,122.4,122.4,122.4,,
99,Iceland,0.1468,0.1522,0.18955,0.226,0.2251,1.76713,3.31007,0.3782,,
104,Ireland,5.149,5.319,5.489,5.12225,4.5855,4.04875,3.643,3.643,,
106,Italy,37.272,37.884,38.496,39.108,39.72,43.54,38.745,30.13,,
109,Jamaica,8.304,8.304,8.304,8.304,8.036,7.768,9.17,10.84,,
110,Japan,40.55,41.04,41.53,41.515,39.92,38.44,37.34,37.34,,
112,Jordan,59.25,68.56,86.18,96.45,89.1,91.925,98.065,97.065,,
114,Kenya,16.89,16.89,16.89,17.6367,18.3833,22.83,26.53,29.885,,
108,Kazakhstan,44.49,44.49,44.49,44.49,35.175,65.44,26.675,27.775,28.895,
113,Kyrgyzstan,64.495,64.495,64.495,64.495,65.44,57.735,50.03,50.03,,
124,Libya,210,445,680,636.25,615.4,688.9,755.9,822.9,,
121,Lebanon,28.75,33.13,37.51,41.485,41.08,35.56,47.175,58.79,,
119,Latvia,2.394,2.394,2.394,2.394,1.9175,1.329,1.34,1.3925,,
126,Lithuania,31.34,31.34,31.34,31.34,25.65,18.14,17.5333,18.7467,,
256,Luxemborg,3.292,5.556,5.1205,4.685,4.68525,4.3535,4.02175,3.669,,
129,Madagascar,13.0275,13.0275,12.415,11.8025,11.19,11.27,11.35,11.35,,
130,Malawi,13.75,13.75,13.75,13.75,15.42,17.51,17.51,17.51,,
136,Mauritania,7.172,8.8796,10.5872,14.0024,15.71,13.24,13.24,13.24,,
137,Mauritius,15.5833,18.0767,20.57,22.36,22.17,26.35,26.35,26.35,,
143,Morocco,48.24,52.8,52.895,54.05,62.595,60.41,49.68,49.68,,
144,Mozambique,0.7194,0.7194,0.7194,0.91836,0.98468,1.28433,1.51767,1.751,,
138,Mexico,20.99,21.8657,22.7414,25.3686,26.2443,28.31,30.11,31.43,,
